Date,Open,High,Low,Close,Adj Close,Volume
2025-08-13,120168.977702,123682.453371,118939.631295,123344.059806,123344.059806,90904808794.95
2025-08-14,123339.395388,124457.116870,117254.882639,118359.580571,118359.580571,104055627395.48
2025-08-15,118365.784391,119332.311755,116864.573477,117398.347983,117398.347983,68665353159.16
2025-08-16,117398.423086,117996.063348,117271.952404,117491.348390,117491.348390,48036922377.96
2025-08-17,117492.788582,118595.776251,117279.520970,117453.062710,117453.062710,45852169525.35
2025-08-18,117453.906386,117614.171154,114723.682402,116252.311936,116252.311936,72787808089.51
2025-08-19,116241.856550,116764.496291,112730.398689,112831.175994,112831.175994,71657600352.99
2025-08-20,112828.021389,114625.796137,112387.961962,114274.740784,114274.740784,67993811525.52
2025-08-21,114275.684148,114802.649626,111986.234701,112419.027500,112419.027500,57817883699.69
2025-08-22,112433.730783,117377.398668,111678.948607,116874.087472,116874.087472,82528088239.59
2025-08-23,116866.367837,116996.253199,114536.108256,115374.331193,115374.331193,55377142585.98
2025-08-24,115387.391323,115615.084050,111060.544875,113458.432236,113458.432236,73961489632.02
2025-08-25,113456.894680,113637.841856,109324.280196,110124.350928,110124.350928,85706860189.64
2025-08-26,110124.105428,112397.012968,108762.035583,111802.655570,111802.655570,69396320316.88
2025-08-27,111795.708267,112619.415508,110398.262472,111222.060717,111222.060717,62137056408.51
2025-08-28,111219.051186,113450.076490,110900.924446,112544.801986,112544.801986,58860155962.4
2025-08-29,112550.520078,112619.053033,107559.624303,108410.838142,108410.838142,77843379643.52
2025-08-30,108409.404957,108929.348669,107444.443172,108808.071713,108808.071713,51486264207.9
2025-08-31,108818.461084,109490.999507,108104.655811,108236.709896,108236.709896,47986191770.07
2025-09-01,108228.747072,109890.584856,107271.183408,109250.594797,109250.594797,66870372995.2
2025-09-02,109243.067327,111748.012668,108454.028642,111200.587212,111200.587212,74776999490.97
2025-09-03,111190.698688,112600.224597,110582.958104,111723.213325,111723.213325,61119643564.64
2025-09-04,111718.149135,112208.328343,109347.225227,110723.600081,110723.600081,60131132900.9
2025-09-05,110723.014543,113357.489191,110233.395200,110650.988279,110650.988279,60241647677.23
2025-09-06,110650.571722,111275.015084,110024.084139,110224.697736,110224.697736,21500719035.81
2025-09-07,110221.325879,111591.075605,110211.621548,111167.619518,111167.619518,24618007519.76
2025-09-08,111163.017798,112869.235698,110630.605598,112071.431089,112071.431089,40212813406.78
2025-09-09,112077.577274,113225.440041,110776.700308,111530.549982,111530.549982,45984480722.09
2025-09-10,111531.247880,114275.252781,110940.076863,113955.358955,113955.358955,56377473784.11
2025-09-11,113961.428094,115522.543870,113453.839309,115507.537527,115507.537527,45685065332.3
2025-09-12,115507.792956,116769.382525,114794.484351,116101.580896,116101.580896,54785725894.45
2025-09-13,116093.559523,116334.633552,115248.275853,115950.505049,115950.505049,34549454946.66
