Date,Open,High,Low,Close,Adj Close,Volume
2025-11-29,3032.295339,3051.962808,2966.850844,2991.685213,2991.685213,12775481230.49
2025-11-30,2991.375158,3051.597960,2978.826254,2992.112457,2992.112457,11530446514.37
2025-12-01,2991.923081,2996.881788,2720.436530,2800.189023,2800.189023,36679598313.13
2025-12-02,2800.223133,3032.761250,2784.390717,2997.939706,2997.939706,26593645111.24
2025-12-03,2997.801490,3212.559935,2988.142038,3191.571777,3191.571777,29949301035.54
2025-12-04,3188.343443,3238.555449,3071.310131,3134.316411,3134.316411,27434991113.11
2025-12-05,3134.357504,3192.457042,2989.831423,3024.432865,3024.432865,28000268227.5
2025-12-06,3024.487441,3067.661303,3013.981940,3040.207855,3040.207855,10962819759.9
2025-12-07,3040.179180,3148.773436,2930.645165,3061.301814,3061.301814,20383496375.78
2025-12-08,3061.013738,3177.867691,3043.703907,3125.198102,3125.198102,25262165670.01
2025-12-09,3124.942671,3395.838695,3092.876488,3321.114997,3321.114997,32012553374.35
2025-12-10,3321.204207,3446.622689,3290.146876,3325.390168,3325.390168,30694387988.74
2025-12-11,3324.386803,3327.344519,3149.034531,3237.056822,3237.056822,29066243706.51
2025-12-12,3237.025654,3265.372505,3050.267295,3084.172700,3084.172700,24391003173.79
2025-12-13,3084.129556,3134.849318,3080.078617,3116.695415,3116.695415,9916869400.44
2025-12-14,3116.743898,3128.622897,3034.692558,3060.594718,3060.594718,15619543349.91
2025-12-15,3060.481562,3175.118167,2899.685881,2964.183101,2964.183101,28765976892.45
2025-12-16,2964.379609,2978.921419,2890.011638,2964.181027,2964.181027,22709189817.97
2025-12-17,2964.019471,3025.815352,2791.334026,2831.403610,2831.403610,26159825527.73
2025-12-18,2831.488164,2994.552783,2777.119659,2827.069001,2827.069001,29194181349.48
2025-12-19,2827.410307,3014.612403,2811.391700,2977.970730,2977.970730,27870687988.58
2025-12-20,2977.869152,2992.310130,2967.838587,2977.582525,2977.582525,7612418215.32
2025-12-21,2977.508513,3009.807115,2945.394790,3001.613741,3001.613741,11178096676.14
2025-12-22,3001.612676,3073.353818,2965.174960,3006.073744,3006.073744,20342034264.44
2025-12-23,3006.074088,3033.196370,2902.332981,2963.374114,2963.374114,21453213168.03
2025-12-24,2962.922667,2975.171241,2888.988032,2945.590470,2945.590470,13984770325.15
2025-12-25,2945.423033,2968.705063,2891.108925,2903.579533,2903.579533,11828871178.6
2025-12-26,2903.625107,2991.219987,2894.153852,2925.745692,2925.745692,18562196049.33
2025-12-27,2925.745016,2957.300540,2917.271274,2947.998279,2947.998279,7378783299.46
2025-12-28,2947.898258,2957.138760,2925.745408,2948.568037,2948.568037,9227601388.8
2025-12-29,2948.559158,3051.941893,2908.748027,2934.538353,2934.538353,25957694514.8
2025-12-30,2934.416247,3002.804601,2916.329968,2971.416672,2971.416672,18816704381.26
2025-12-31,2971.407532,3021.849538,2959.143875,2967.037579,2967.037579,16451891101.06
2026-01-01,2966.997436,3006.010168,2966.845228,3000.394268,3000.394268,10268796662.13
2026-01-02,3000.453089,3146.984371,2989.901426,3124.422658,3124.422658,25242778003.03
2026-01-03,3124.310407,3135.025603,3077.465908,3125.917571,3125.917571,11460707918.67
2026-01-04,3125.960212,3160.551099,3119.427446,3140.710379,3140.710379,13890479322.91
2026-01-05,3141.486437,3261.245805,3134.092668,3226.130317,3226.130317,27211995956.03
2026-01-06,3226.116511,3303.563482,3184.014699,3295.946693,3295.946693,27853981622.04
2026-01-07,3295.912533,3296.394193,3126.552105,3166.844026,3166.844026,22665982582.72
2026-01-08,3166.924077,3179.866412,3052.509704,3104.382552,3104.382552,22760237887.76
2026-01-09,3104.334801,3140.709218,3058.096919,3083.047071,3083.047071,18879517394.84
2026-01-10,3083.166476,3099.167374,3075.135487,3082.396076,3082.396076,6960662968.82
2026-01-11,3082.407492,3141.957951,3080.747823,3118.885197,3118.885197,10497219710.73
2026-01-12,3118.828786,3166.220020,3068.072758,3092.325291,3092.325291,21152711364.64
2026-01-13,3092.008431,3352.580126,3088.513042,3322.095453,3322.095453,27237310134.45
2026-01-14,3322.192022,3397.897645,3280.378639,3354.722693,3354.722693,33926411912.15
2026-01-15,3354.765856,3382.448714,3276.819952,3317.101308,3317.101308,27598686935.36
2026-01-16,3317.341719,3325.250421,3251.814461,3295.482206,3295.482206,22732887283.59
2026-01-17,3295.482786,3328.283487,3282.661759,3308.864138,3308.864138,11206492253.1
2026-01-18,3308.905834,3367.167670,3278.426692,3281.157605,3281.157605,13557863288.13
2026-01-19,3282.199149,3282.654756,3166.016597,3186.621007,3186.621007,27956112545.42
2026-01-20,3186.621046,3197.391765,2925.543342,2935.605735,2935.605735,32985301273.45
2026-01-21,2935.882172,3064.390677,2867.264437,2978.901168,2978.901168,35797876195.39
2026-01-22,2979.307787,3034.338218,2905.562663,2949.633365,2949.633365,21993593332.79
2026-01-23,2949.445755,3013.954134,2892.520893,2953.256401,2953.256401,22417700837.42
2026-01-24,2953.238166,2965.468865,2942.444677,2948.740669,2948.740669,8198666763.13
2026-01-25,2948.534445,2955.016904,2785.896672,2815.902274,2815.902274,22414089670.46
2026-01-26,2815.768682,2945.997498,2811.074853,2926.457031,2926.457031,29668620102.4
2026-01-27,2926.201292,3031.038632,2898.311446,3022.210865,3022.210865,27976005223.44
2026-01-28,3022.237462,3040.718537,2981.589548,3006.607464,3006.607464,21751566455.37
2026-01-29,3006.261705,3008.037528,2751.644948,2818.232743,2818.232743,37487198040.88
2026-01-30,2818.135496,2823.914554,2633.838892,2702.375241,2702.375241,41877689969.9
2026-01-31,2702.301405,2709.533732,2248.698744,2445.091792,2445.091792,47569532202.78
2026-02-01,2445.069454,2472.646130,2224.117827,2267.964921,2267.964921,40358630560.48
2026-02-02,2267.562448,2393.063447,2158.937243,2344.356604,2344.356604,48844346396.49
2026-02-03,2344.445746,2357.206022,2109.055109,2227.558916,2227.558916,47906083918.63
2026-02-04,2227.967047,2291.131264,2074.102852,2143.504082,2143.504082,45219604814.1
2026-02-05,2143.618985,2167.139884,1818.664353,1821.683054,1821.683054,60381662654.87
2026-02-06,1821.129437,2090.328069,1748.627741,2063.386972,2063.386972,64998454203.34
2026-02-07,2063.333817,2115.824895,1995.918537,2090.549283,2090.549283,41145430303.93
2026-02-08,2090.633423,2148.120684,2066.383782,2088.762831,2088.762831,19541713443.06
2026-02-09,2087.921273,2144.976128,2008.362247,2103.567705,2103.567705,26750982266.16
2026-02-10,2104.181891,2122.021443,1990.140472,2019.497495,2019.497495,23267337087.45
2026-02-11,2019.580086,2030.409435,1903.685241,1940.621389,1940.621389,23922680362.04
2026-02-12,1940.841180,1999.502760,1897.334870,1946.940691,1946.940691,20106364835.24
2026-02-13,1946.610739,2069.456748,1924.136912,2048.527238,2048.527238,20412430638.7
2026-02-14,2048.330312,2105.067710,2042.641447,2086.009862,2086.009862,16925555542.56
2026-02-15,2085.953607,2100.478928,1929.394424,1966.042930,1966.042930,31030538835.37
2026-02-16,1965.923187,2021.083672,1938.545098,1997.917766,1997.917766,19219250472.72
2026-02-17,1997.921753,2013.856033,1941.778899,1992.194279,1992.194279,20929890501.14
